인기 페이지,클릭수,노출,CTR,게재 순위
https://okramen.net/ramen/enishi_kyoto_en,0,2,0%,9
https://okramen.net/guide/asahikawa_oily_layer_ko,0,2,0%,10
https://okramen.net/guide/ramen_and_coffee_pairing_en,0,2,0%,10.5
https://okramen.net/ramen/nagoya_sakae_espresso_en,0,2,0%,10.5
https://okramen.net/ramen/ramen_hayashida_shinjuku_en,0,2,0%,17.5
https://okramen.net/card/ippudo_ginza_ko,0,2,0%,34.5
https://okramen.net/card/kyushu_jangara_akihabara_ko,0,2,0%,35.5
https://okramen.net/card/menya_inoichi_ko,0,2,0%,47
https://okramen.net/ramen/ichiran_fukuoka_main_ko,0,1,0%,1
https://okramen.net/guide/ramen_and_coffee_pairing_ko,0,1,0%,2
https://okramen.net/guide/ramen_seasonal_limited_ko,0,1,0%,2
https://okramen.net/ramen/tairyo_ramen_ko,0,1,0%,3
https://okramen.net/guide/cold_ramen_summer_ko,0,1,0%,4
https://okramen.net/ramen/marunouchi_blend_lab_en,0,1,0%,4
https://okramen.net/guide/kyoto_ramen_culture_ko,0,1,0%,5
https://okramen.net/ramen/ramen_sugimoto_en,0,1,0%,5
https://okramen.net/ramen/ramen_shirakaba_sansou_ko,0,1,0%,6
https://okramen.net/guide/female_solo_ramen_ko,0,1,0%,7
https://okramen.net/guide/ramen_shop_interior_styles_en,0,1,0%,7
https://okramen.net/ramen/kanazawa_higashi_chaya_cafe_ko,0,1,0%,7
https://okramen.net/ramen/kyoto_gogyo_ko,0,1,0%,7
https://okramen.net/ramen/shibuya_morning_club_en,0,1,0%,7
https://okramen.net/guide/instant_ramen_hacks_ko,0,1,0%,8
https://okramen.net/guide/ramen_for_breakfast_ko,0,1,0%,8
https://okramen.net/guide/tokushima_raw_egg_ko,0,1,0%,9
https://okramen.net/ramen/ebisu_workbench_cafe_en,0,1,0%,9
https://okramen.net/ramen/naha_kokusai_street_coffee_en,0,1,0%,9
https://okramen.net/ramen/ramen_sora_sapporo_en,0,1,0%,9
https://okramen.net/guide/ramen_shop_souvenirs_en,0,1,0%,11
https://okramen.net/privacy.html,0,1,0%,11
https://okramen.net/ramen/muteppou_kyoto_ko,0,1,0%,11
https://okramen.net/ramen/ganso_ramen_nagahama-ya_ko,0,1,0%,12
https://okramen.net/ramen/hiroshima_peace_park_cafe_en,0,1,0%,12
https://okramen.net/card/ramen_sora_sapporo_en,0,1,0%,16
https://okramen.net/ramen/ramen_sugimoto_ko,0,1,0%,17
https://okramen.net/guide/hidden_gems_tips_en,0,1,0%,20
https://okramen.net/guide/ramen_seasonal_limited_en,0,1,0%,21
https://okramen.net/guide/ramen_bowl_design_en,0,1,0%,23
https://okramen.net/card/mutekiya_ikebukuro_ko,0,1,0%,72
